method,terms,threshold,recall,specificity,precision,fpr,precision_n
model,1,0.0661168384879725,0.99,0.999860278032602,0.30481454290052684,0.00013972196739820775,100
model,1,0.06967078189300412,0.99,0.9998640415872795,0.3065864790117078,0.00013595841272081492,100
model,1,0.07341463414634146,0.99,0.9998675699197893,0.31247215912107207,0.00013243008021075915,100
model,1,0.07633262260127932,0.99,0.9998710982522993,0.32114708550188076,0.00012890174770070339,100
model,1,0.08018181818181819,0.99,0.9998748618069768,0.3231807272986804,0.00012513819302331056,100
model,1,0.08287128712871288,0.99,0.999878390139487,0.32649370379362624,0.00012160986051325483,100
model,1,0.08839572192513369,0.99,0.999881918471997,0.3287980710660242,0.00011808152800319912,100
model,1,0.0956,0.99,0.9998856820266744,0.3318439564821143,0.0001143179733258063,100
model,1,0.10050377833753149,0.99,0.9998892103591843,0.3348630988894147,0.00011078964081575057,100
model,1,0.10512626262626262,0.99,0.9998929739138614,0.34506298642018457,0.00010702608613835781,100
model,1,0.11189393939393939,0.99,0.9998965022463717,0.3478800951800178,0.00010349775362830207,100
model,1,0.11772727272727272,0.99,0.9999000305788815,0.3502645728454552,0.00009996942111824632,100
model,1,0.1238888888888889,0.99,0.999903794133559,0.35787576617568884,0.00009620586644085353,100
model,1,0.13017326732673268,0.99,0.9999073224660691,0.36048679506767756,0.0000926775339307978,100
model,1,0.13872727272727273,0.99,0.9999108507985791,0.36333203316291557,0.00008914920142074205,100
model,1,0.14505330490405116,0.99,0.9999146143532563,0.37827355977355986,0.00008538564674334923,100
model,1,0.15687912087912087,0.99,0.9999181426857663,0.3857124125874127,0.00008185731423329345,100
model,1,0.1649846153846154,0.99,0.9999216710182763,0.3989286824286827,0.00007832898172323768,100
model,1,0.18051724137931036,0.99,0.999925434572954,0.4103185425685427,0.00007456542704584488,100
